Daily Runoff....
StartDate: 2001-01-02 12:00:00
EndDate: 2002-01-02 12:00:00

Time[yyyy-MM-dd hh:mm:ss], Runoff, Streamflow [l/s], PET, Precipitation
2001-01-02 12:00:00, 9.660000000000004, 13.953333333333338, 0.4601115232105053, 0.0
2001-01-03 12:00:00, 8.63261925321035, 12.469338921303839, 0.5274143120420741, 0.0
2001-01-04 12:00:00, 7.797239914111807, 11.262679875939277, 0.5495735528628641, 0.0
2001-01-05 12:00:00, 7.106624960771084, 10.26512494333601, 0.5261826151463365, 0.0
2001-01-06 12:00:00, 6.55304051391495, 9.465502964543816, 0.3631865592743763, 3.3499999999999996
2001-01-07 12:00:00, 6.275126999200705, 9.064072332178796, 0.26228515901056826, 0.0
2001-01-08 12:00:00, 5.835475835187373, 8.429020650826205, 0.5682629680682664, 0.0
2001-01-09 12:00:00, 5.445661287617652, 7.865955193225497, 0.35024726636443265, 0.5600000000000005
2001-01-10 12:00:00, 5.140194024049068, 7.42472470140421, 0.41026306124083345, 9.19
2001-01-11 12:00:00, 5.33914624778961, 7.712100135696102, 0.5967633283043583, 0.0
2001-01-12 12:00:00, 4.99836675790343, 7.219863094749398, 0.49793538035757806, 0.0
2001-01-13 12:00:00, 4.702250325989786, 6.7921393597630235, 0.7439818052772766, 0.0
2001-01-14 12:00:00, 4.426138336432647, 6.393310930402713, 0.47840060310096416, 0.0
2001-01-15 12:00:00, 4.196351414255005, 6.0613964872572295, 0.5335172413923375, 2.59
2001-01-16 12:00:00, 4.104542600385791, 5.92878375611281, 0.43554697055495906, 27.48
2001-01-17 12:00:00, 5.3364647996043875, 7.708226932761893, 0.4269513035239342, 57.45
2001-01-18 12:00:00, 9.378685094172685, 13.546989580471655, 0.1782468827902982, 0.0
2001-01-19 12:00:00, 8.433833707888567, 12.18220424472793, 0.4898086109628353, 0.0
2001-01-20 12:00:00, 7.637725557327079, 11.032270249472447, 0.5779614850222785, 0.0
2001-01-21 12:00:00, 6.9713887057798365, 10.069783686126431, 0.6337311958563328, 0.0
2001-01-22 12:00:00, 6.406500084221913, 9.253833454987207, 0.6488151320692275, 0.0
2001-01-23 12:00:00, 5.923459906386995, 8.556108753670104, 0.42928582101056445, 0.0
2001-01-24 12:00:00, 5.519761529531304, 7.972988875989661, 0.5402711190465136, 0.0
2001-01-25 12:00:00, 5.160332224885665, 7.4538132137237385, 0.6249749479932809, 0.0
2001-01-26 12:00:00, 4.839056536630399, 6.989748330688354, 0.7527527176896672, 0.0
2001-01-27 12:00:00, 4.557268235920382, 6.5827207852183305, 0.7766197191959353, 13.760000000000002
2001-01-28 12:00:00, 5.006355090735699, 7.231401797729343, 0.6619924691390751, 11.48
2001-01-29 12:00:00, 5.326987814894992, 7.694537954848323, 0.7458868479491502, 0.0
2001-01-30 12:00:00, 4.979400764416175, 7.192467770823364, 0.6192206492958262, 0.0
2001-01-31 12:00:00, 4.679085340521873, 6.758678825198261, 0.5481224370590977, 0.0
2001-02-01 12:00:00, 4.415065034734678, 6.3773161612834235, 0.6545842895374602, 0.0
2001-02-02 12:00:00, 4.173241731389161, 6.028015834228788, 0.6650708729215622, 0.0
2001-02-03 12:00:00, 3.9548160859352564, 5.712512124128703, 0.5708281623405126, 0.0
2001-02-04 12:00:00, 3.760865670379713, 5.4323615238818075, 0.8534792565849763, 0.0
2001-02-05 12:00:00, 3.572903830986488, 5.1608610892027045, 0.9952455291809746, 0.0
2001-02-06 12:00:00, 3.3960787189561974, 4.9054470384922855, 1.0036204805201256, 0.0
2001-02-07 12:00:00, 3.234052198052287, 4.67140873051997, 0.9168916189200786, 0.0
2001-02-08 12:00:00, 3.0894781855732636, 4.462579601383603, 0.7170173932325633, 7.92
2001-02-09 12:00:00, 3.232707133838191, 4.669465859988498, 0.7323191140830562, 0.0
2001-02-10 12:00:00, 3.0938326140864483, 4.468869331458204, 0.4674615704054861, 3.0999999999999996
2001-02-11 12:00:00, 3.0778332830336956, 4.445759186604227, 0.5935548368024578, 2.59
2001-02-12 12:00:00, 3.0408777562772324, 4.392378981289336, 0.6911689627751535, 2.59
2001-02-13 12:00:00, 3.002465361812612, 4.336894411507106, 0.7103352970110449, 1.5700000000000003
2001-02-14 12:00:00, 2.9355714129362807, 4.240269818685738, 0.9721416078876243, 27.989999999999995
2001-02-15 12:00:00, 3.8313062737383876, 5.53410906206656, 0.6129224662044361, 0.0
2001-02-16 12:00:00, 3.6467103577307705, 5.2674705167222236, 0.7002642870915784, 0.0
2001-02-17 12:00:00, 3.4747612481022654, 5.019099580592161, 0.7683660607414846, 0.0
2001-02-18 12:00:00, 3.3147423962191493, 4.7879612389832165, 0.9251485997120314, 0.0
2001-02-19 12:00:00, 3.162206401053415, 4.567631468188266, 0.8179462571010171, 0.0
2001-02-20 12:00:00, 3.0280640398689576, 4.373870279810717, 0.37153734933121846, 18.08
2001-02-21 12:00:00, 3.5614281631047575, 5.14428512448465, 1.0605164545834669, 0.0
2001-02-22 12:00:00, 3.384553960598158, 4.88880016530845, 0.8316687527838476, 1.0599999999999996
2001-02-23 12:00:00, 3.2732004057132453, 4.727956141585799, 0.970095466165089, 34.59
2001-02-24 12:00:00, 4.5764480110401715, 6.610424904835803, 1.2102378229321495, 0.0
2001-02-25 12:00:00, 4.291458468579699, 6.19877334350401, 0.9778886245756198, 0.0
2001-02-26 12:00:00, 4.047414748100233, 5.8462657472558925, 0.7298072422482841, 0.0
2001-02-27 12:00:00, 3.8381792448171215, 5.544036686958065, 1.1170253097741136, 0.0
