//LocalDateTime	DataValue
2017-04-27 10:17:42	0.9358048007559175
2017-04-27 10:18:42	1.838352997931795
2017-04-27 10:19:42	2.7674653444956574
2017-04-27 10:20:42	3.7083870862988753
2017-04-27 10:21:42	4.6387204827963835
2017-04-27 10:22:42	5.547685552055025
2017-04-27 10:23:42	6.426553617338514
2017-04-27 10:24:42	7.326627676842253
2017-04-27 10:25:42	8.272867844077672
2017-04-27 10:26:42	9.221371154437064
2017-04-27 10:27:42	10.164819064373201
2017-04-27 10:28:42	11.049288252600315
2017-04-27 10:29:42	11.994477013408655
2017-04-27 10:30:42	12.900462444701185
2017-04-27 10:31:42	13.748014430287805
2017-04-27 10:32:42	14.545630622924577
2017-04-27 10:33:42	15.294786754715343
2017-04-27 10:34:42	16.11219422964546
2017-04-27 10:35:42	17.009523951957263
2017-04-27 10:36:42	17.931832971075274
2017-04-27 10:37:42	18.9630262463796
2017-04-27 10:38:42	19.919931362490562
2017-04-27 10:39:42	20.897154326095944
2017-04-27 10:40:42	21.951614368909993
2017-04-27 10:41:42	22.97819445319515
2017-04-27 10:42:42	24.002883177729817
2017-04-27 10:43:42	24.98773365623234
2017-04-27 10:44:42	26.00230648929989
2017-04-27 10:45:42	27.008406686194075
2017-04-27 10:46:42	27.939074093426484
2017-04-27 10:47:42	28.97175638305612
2017-04-27 10:48:42	30.041505927668737
2017-04-27 10:49:42	31.13426692757116
2017-04-27 10:50:42	32.205979658899686
2017-04-27 10:51:42	33.31261695665892
2017-04-27 10:52:42	34.43787606359827
2017-04-27 10:53:42	35.49375805781991
2017-04-27 10:54:42	36.61070194449816
2017-04-27 10:55:42	37.728924345192574
2017-04-27 10:56:42	38.869101556213295
2017-04-27 10:57:42	40.01061834319715
2017-04-27 10:58:42	41.168509131598135
2017-04-27 10:59:42	42.38801890567889
2017-04-27 11:00:42	43.62272210684618
2017-04-27 11:01:42	44.85801064434274
2017-04-27 11:02:42	46.1098559555931
2017-04-27 11:03:42	47.0941403029374
2017-04-27 11:04:42	48.10095804726137
2017-04-27 11:05:42	49.063753136162944
2017-04-27 11:06:42	49.88359868725015
2017-04-27 11:07:42	50.683833599236394
2017-04-27 11:08:42	51.495313043708684
2017-04-27 11:09:42	52.31195464658292
2017-04-27 11:10:42	53.16093640041779
