35.06666667;-83.43333333;-9999
2000/10/14 0:00	-0.6	25	12.2
2000/10/15 0:00	-0.6	24.5	12
2000/10/16 0:00	1.1	26.7	13.9
2000/10/17 0:00	5	25	15
2000/10/18 0:00	7.2	25.6	16.4
2000/10/19 0:00	3.9	23.9	13.9
2000/10/20 0:00	6.1	18.9	12.5
2000/10/21 0:00	7.8	21.1	14.5
2000/10/22 0:00	7.8	25.6	16.7
2000/10/23 0:00	8.9	24.5	16.7
2000/10/24 0:00	7.8	25.6	16.7
2000/10/25 0:00	8.3	21.7	15
2000/10/26 0:00	11.7	23.4	17.6
2000/10/27 0:00	6.7	25	15.9
2000/10/28 0:00	7.8	26.1	17
2000/10/29 0:00	3.3	22.2	12.8
2000/10/30 0:00	1.7	24.5	13.1
2000/10/31 0:00	2.8	25.6	14.2
2000/11/1 0:00	2.8	26.1	14.5
2000/11/2 0:00	5	24.5	14.8
2000/11/3 0:00	6.1	25.6	15.9
2000/11/4 0:00	6.7	15.6	11.2
2000/11/5 0:00	6.1	19.5	12.8
2000/11/6 0:00	5	15	10
2000/11/7 0:00	10.6	18.3	14.5
2000/11/8 0:00	14.5	20.6	17.6
2000/11/9 0:00	15	17.8	16.4
2000/11/10 0:00	4.4	16.7	10.6
2000/11/11 0:00	-2.8	17.8	7.5
2000/11/12 0:00	-2.2	19.5	8.7
2000/11/13 0:00	-0.6	16.7	8.1
2000/11/14 0:00	1.1	12.2	6.7
2000/11/15 0:00	-3.9	13.3	4.7
2000/11/16 0:00	-1.7	6.7	2.5
2000/11/17 0:00	4.4	10	7.2
2000/11/18 0:00	-5	3.3	-0.9
2000/11/19 0:00	0.6	3.9	2.3
2000/11/20 0:00	-3.3	8.9	2.8
2000/11/21 0:00	-4.4	3.3	-0.6
2000/11/22 0:00	-8.9	10	0.6
2000/11/23 0:00	-1.7	11.1	4.7
2000/11/24 0:00	0	9.5	4.8
2000/11/25 0:00	6.1	11.7	8.9
2000/11/26 0:00	2.8	12.8	7.8
2000/11/27 0:00	-2.2	13.9	5.9
2000/11/28 0:00	-3.3	15	5.9
2000/11/29 0:00	-0.6	10.6	5
2000/11/30 0:00	-3.3	12.2	4.5
2000/12/1 0:00	-5.6	11.7	3.1
2000/12/2 0:00	-2.2	7.8	2.8
2000/12/3 0:00	-1.1	3.9	1.4
2000/12/4 0:00	-5	5.6	0.3
2000/12/5 0:00	-7.2	9.5	1.2
2000/12/6 0:00	-6.1	5.6	-0.3
2000/12/7 0:00	-5	11.1	3.1
2000/12/8 0:00	-5	14.5	4.8
2000/12/9 0:00	-4.4	11.1	3.4
2000/12/10 0:00	3.3	11.1	7.2
2000/12/11 0:00	-1.1	12.8	5.9
2000/12/12 0:00	1.1	7.8	4.5
2000/12/13 0:00	-3.9	9.5	2.8
2000/12/14 0:00	-2.2	18.9	8.4
2000/12/15 0:00	-1.7	15.6	7
2000/12/16 0:00	5	10.6	7.8
2000/12/17 0:00	-1.7	-0.6	-1.2
2000/12/18 0:00	-10	8.9	-0.6
2000/12/19 0:00	-2.8	3.9	0.6
2000/12/20 0:00	-15	2.2	-6.4
2000/12/21 0:00	-8.9	1.1	-3.9
2000/12/22 0:00	-11.1	0.6	-5.3
2000/12/23 0:00	-13.9	3.9	-5
2000/12/24 0:00	-7.2	8.9	0.9
2000/12/25 0:00	-8.9	7.8	-0.6
2000/12/26 0:00	-5	4.4	-0.3
2000/12/27 0:00	-2.2	2.8	0.3
2000/12/28 0:00	-0.6	4.4	1.9
2000/12/29 0:00	-8.3	5	-1.7
2000/12/30 0:00	-10	-5	-7.5
2000/12/31 0:00	-11.7	0	-5.9
2001/1/1 0:00	-10	0	-5
2001/1/2 0:00	-10.6	1.7	-4.5
2001/1/3 0:00	-15.6	4.4	-5.6
2001/1/4 0:00	-11.1	8.3	-1.4
2001/1/5 0:00	-7.2	10.6	1.7
2001/1/6 0:00	-3.3	11.7	4.2
2001/1/7 0:00	-5	10.6	2.8
2001/1/8 0:00	1.7	7.8	4.8
2001/1/9 0:00	-3.3	2.2	-0.6
2001/1/10 0:00	-10.6	11.7	0.6
2001/1/11 0:00	-6.7	3.9	-1.4
2001/1/12 0:00	0.6	8.3	4.5
2001/1/13 0:00	-2.2	12.8	5.3
2001/1/14 0:00	-1.1	10	4.5
2001/1/15 0:00	2.2	17.8	10
2001/1/16 0:00	-2.2	8.9	3.4
2001/1/17 0:00	-1.7	10.6	4.5
2001/1/18 0:00	6.1	11.7	8.9
2001/1/19 0:00	7.2	12.2	9.7
2001/1/20 0:00	1.7	3.3	2.5
2001/1/21 0:00	-8.9	7.8	-0.6
2001/1/22 0:00	-6.1	10.6	2.3
2001/1/23 0:00	-7.2	12.2	2.5
2001/1/24 0:00	-3.3	12.8	4.8
